Crash Id,Date,Location,City,Aboard,Fatalities,Summary,Year
0,01/02/1980,Haiti,Haiti,9.0,9.0,Struck high ground in poor visibility while en route.,1980
1,01/11/1980,  Atlantic Ocean,  Atlantic Ocean,2.0,2.0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA  tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert ""Bo"" Rein, 34, was killed.",1980
2,01/14/1980,"Shungnak, Alaska",Shungnak,9.0,7.0,Crashed. Continued VFR flight into adverse weather conditions.,1980
3,01/21/1980,"Elburz Mtns.,  Tehran, Iran",Elburz Mtns.,128.0,128.0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named ""Shiraz.""",1980
4,01/23/1980,"Mt. Cemonyet,  Indonesia",Mt. Cemonyet,13.0,13.0,"Hit high ground at 2,700 ft. in poor weather while on approach.",1980
5,01/24/1980," Mandalay, Burma", Mandalay,44.0,43.0,Crashed into a building while attempting an emergency landing following the loss of one engine.,1980
6,02/03/1980,"Baracoa, Cuba",Baracoa,37.0,1.0,Crashed while attemping to land.,1980
7,02/21/1980,"Leeville, Louisiana",Leeville,7.0,6.0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed.",1980
8,02/21/1980,"Sydney, NSW, Australia",Sydney,13.0,13.0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.,1980
9,02/22/1980," Agra, India", Agra,47.0,46.0,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.,1980
10,02/27/1980,"Manila, Philippines",Manila,135.0,2.0,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.,1980
11,03/14/1980," Warsaw, Poland", Warsaw,87.0,87.0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik.",1980
12,03/14/1980," Yenice, Turkey", Yenice,18.0,18.0,Crashed into hilly terrain after the left wing exploded. Cause unknown. The plane was returning to Incirlik Air Base.,1980
13,03/21/1980,"Houston, Texas",Houston,10.0,7.0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons.  Improper emergency procedures. The pilot did not properly configure aircraft and  land immediately.",1980
14,03/21/1980," Macae, Brazil", Macae,14.0,14.0,Crashed into the sea. Fatigue fracture of the main rotor.,1980
15,04/12/1980,"Florianopolis, Brazil",Florianopolis,58.0,55.0,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.,1980
16,04/14/1980,"	Krasnoyarsk, Russia",	Krasnoyarsk,53.0,2.0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.,1980
17,04/24/1980,"Posht-i-Badam, Iran",Posht-i-Badam,7.0,5.0,Hit by  a U.S. Marine Corps RH-53D Sea Stallion helicopter during a hostage rescue operation while on the ground.,1980
18,04/25/1980,"Tenerife, Canary Islands",Tenerife,146.0,146.0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot.",1980
19,04/27/1980,"Don Muang, Thailand",Don Muang,53.0,44.0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather.",1980
20,06/02/1980," Yachiba, Bolivia", Yachiba,13.0,13.0,Crashed in the Tapecua mountains.,1980
21,06/08/1980," Matala, Angola", Matala,29.0,29.0,Accidentally shot down by anti-aircraft fire.,1980
22,06/12/1980," Dushanbe, Russia", Dushanbe,29.0,29.0,Deviated from their course to avoid a thunderstorm and crashed into a cloud covered mountain.,1980
